Hawaii Ocean Time-series : 29-Apr-2024 01:18:44
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, hplc, 
#, mmddyy, hhmmss, dbar, ng/l, 
0490201720, 091593, 100413,   25.3,  60.0,
0490201715, 091593, 095910,   75.9, 118.0,
0490201714, 091593, 095653,  100.7, 249.0,
0490201713, 091593, 095515,  115.9, 250.0,
0490201712, 091593, 095338,  120.7, 258.0,
0490201711, 091593, 095228,  125.9, 251.0,
0490201710, 091593, 095104,  130.1, 203.0,
0490201709, 091593, 094929,  139.9, 178.0,
0490201708, 091593, 094803,  149.8, 106.0,
0490201707, 091593, 094744,  150.1, 116.0,
0490201705, 091593, 094534,  175.4,  27.0,
0500201419, 103093, 092427,    5.7,  69.0,
0500201418, 103093, 092246,   25.8,  84.0,
0500201417, 103093, 092106,   47.4, 100.0,
0500201416, 103093, 091942,   61.8, 148.0,
0500201415, 103093, 091825,   74.4, 207.0,
0500201414, 103093, 091652,   90.0, 262.0,
0500201413, 103093, 091531,  100.4, 241.0,
0500201412, 103093, 091413,  110.8, 228.0,
0500201411, 103093, 091254,  115.6, 200.0,
0500201410, 103093, 091128,  119.7, 171.0,
0500201409, 103093, 091009,  125.6, 169.0,
0500201408, 103093, 090837,  137.1,  75.0,
0500201407, 103093, 090700,  151.7,  29.0,
0500201406, 103093, 090507,  175.1,   2.0,
0510201317, 012194, 134205,    7.1, 113.0,
0510201315, 012194, 134004,   27.0, 120.0,
0510201314, 012194, 133847,   46.3, 138.0,
0510201312, 012194, 133607,   75.0, 132.0,
0510201311, 012194, 133448,   89.6, 129.0,
0510201310, 012194, 133335,  100.1, 143.0,
0510201309, 012194, 133208,  116.0, 194.0,
0510201308, 012194, 133058,  126.1, 168.0,
0510201307, 012194, 132951,  135.3, 105.0,
0510201306, 012194, 132820,  148.8,  58.0,
0510201305, 012194, 132635,  173.7,  10.0,
0520201316, 021894, 084037,    6.3, 107.0,
0520201315, 021894, 083907,   25.8,  58.0,
0520201314, 021894, 083738,   44.2, 134.0,
0520201313, 021894, 083603,   60.5, 147.0,
0520201312, 021894, 083438,   77.5, 161.0,
0520201311, 021894, 083342,   86.1, 274.0,
0520201309, 021894, 083058,  126.4, 207.0,
0520201308, 021894, 082956,  135.6, 191.0,
0520201307, 021894, 082843,  149.8,  87.0,
0520201306, 021894, 082712,  174.0,   8.0,
0520201304, 021894, 082251,  257.4,   1.0,
0520201303, 021894, 081436,  505.6,   1.0,
0520201302, 021894, 080831,  732.3,   0.0,
0520201301, 021894, 080159, 1014.1,   0.0,
0530201516, 031094, 085819,    4.5,  64.0,
0530201515, 031094, 085707,   24.4,  59.0,
0530201514, 031094, 085604,   44.5,  66.0,
0530201513, 031094, 085457,   74.7,  97.0,
0530201512, 031094, 085345,   99.4, 149.0,
0530201511, 031094, 085213,  124.6, 279.0,
0530201510, 031094, 085103,  141.0, 227.0,
0530201509, 031094, 085009,  145.1, 231.0,
0530201508, 031094, 084919,  150.0, 216.0,
0530201507, 031094, 084827,  154.6, 202.0,
0530201506, 031094, 084732,  160.5, 181.0,
0530201505, 031094, 084637,  176.1,  86.0,
0540200415, 061894, 203509,    5.1,  59.0,
0540200414, 061894, 203329,   24.0,  52.0,
0540200413, 061894, 203143,   44.4,  57.0,
0540200412, 061894, 202924,   74.9, 114.0,
0540200411, 061894, 202719,   98.7, 157.0,
0540200410, 061894, 202711,   98.7, 158.0,
0540200409, 061894, 202510,  126.0, 226.0,
0540200408, 061894, 202329,  140.4, 240.0,
0540200407, 061894, 202156,  150.0, 229.0,
