Hawaii Ocean Time-series : 12-Sep-2023 23:47:19
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, pbact, 
#, mmddyy, hhmmss, dbar, #*1e5/ml, 
2270200304, 112110, 124553,  150.2,  0.120,
2270200303, 112110, 124425,  175.3,  0.035,
2280200218, 010911, 145322,    6.7,  1.676,
2280200215, 010911, 145137,   26.6,  1.745,
2280200212, 010911, 144959,   46.2,  1.703,
2280200209, 010911, 144810,   76.6,  1.734,
2280200207, 010911, 144612,  101.6,  1.551,
2280200203, 010911, 144400,  125.5,  0.418,
2280200202, 010911, 144222,  149.6,  0.044,
2280200201, 010911, 144049,  175.1,  0.015,
2290200920, 012911, 130525,    6.7,  1.687,
2290200917, 012911, 130206,   24.9,  1.653,
2290200914, 012911, 130001,   45.8,  1.598,
2290200911, 012911, 125715,   74.9,  2.021,
2290200908, 012911, 125506,  100.0,  1.633,
2290200905, 012911, 125238,  124.5,  0.489,
2290200904, 012911, 125013,  150.4,  0.094,
2290200903, 012911, 124754,  176.1,  0.006,
2300200220, 022811, 123009,    6.8,  1.526,
2300200217, 022811, 122724,   24.8,  1.458,
2300200214, 022811, 122528,   46.3,  1.574,
2300200208, 022811, 122108,  100.7,  2.116,
2300200205, 022811, 121904,  125.7,  0.733,
2300200204, 022811, 121725,  150.4,  0.127,
2300200203, 022811, 121541,  175.1,  0.032,
2310200220, 041111, 134640,    4.6,  1.709,
2310200217, 041111, 134318,   25.4,  1.574,
2310200214, 041111, 134108,   45.5,  1.731,
2310200211, 041111, 133821,   75.0,  1.997,
2310200208, 041111, 133521,  102.5,  2.267,
2310200206, 041111, 133326,  125.1,  2.272,
2310200204, 041111, 133121,  150.3,  0.171,
2310200203, 041111, 132910,  175.9,  0.054,
2320200218, 050911, 141518,    5.9,  1.829,
2320200215, 050911, 141331,   24.1,  1.830,
2320200212, 050911, 141204,   44.0,  1.828,
2320200209, 050911, 141018,   74.2,  1.703,
2320200206, 050911, 140837,   99.4,  1.041,
2320200203, 050911, 140631,  123.9,  0.395,
2320200202, 050911, 140457,  149.6,  0.220,
2320200201, 050911, 140335,  175.5,  0.126,
2330200218, 071911, 111425,    5.7,  1.735,
2330200215, 071911, 111203,   24.5,  1.649,
2330200212, 071911, 111018,   44.6,  1.758,
2330200209, 071911, 110808,   74.7,  1.922,
2330200206, 071911, 110614,   99.8,  1.857,
2330200203, 071911, 110418,  124.1,  1.084,
2330200202, 071911, 110219,  149.5,  0.447,
2330200201, 071911, 110013,  174.7,  0.118,
2340200820, 083111, 132511,    5.6,  1.560,
2340200817, 083111, 132303,   25.7,  2.052,
2340200814, 083111, 132112,   45.6,  2.736,
2340200811, 083111, 131900,   74.8,  2.016,
2340200808, 083111, 131652,   99.7,  0.911,
2340200805, 083111, 131437,  124.9,  0.308,
2340200804, 083111, 131257,  149.6,  0.129,
2340200803, 083111, 131121,  173.7,  0.061,
2350200620, 092711, 132937,    5.8,  2.305,
2350200617, 092711, 132638,   25.7,  2.550,
2350200614, 092711, 132427,   45.3,  2.536,
2350200611, 092711, 132139,   75.9,  2.562,
2350200608, 092711, 131917,  100.9,  1.706,
2350200605, 092711, 131650,  125.5,  0.709,
2350200604, 092711, 131451,  150.4,  0.188,
2350200603, 092711, 131252,  175.9,  0.079,
2360200222, 110411, 133817,    5.7,  2.348,
2360200219, 110411, 133622,   26.0,  2.409,
2360200216, 110411, 133412,   47.1,  2.309,
2360200213, 110411, 133136,   78.5,  1.391,
2360200210, 110411, 132922,   99.9,  0.698,
2360200207, 110411, 132640,  126.7,  0.237,
2360200206, 110411, 132504,  152.8,  0.085,
2360200205, 110411, 132323,  181.0,  0.020,
2370200620, 112911, 145306,    5.6,  1.532,
2370200617, 112911, 145125,   24.8,  1.546,
2370200614, 112911, 144936,   45.5,  1.512,
2370200611, 112911, 144719,   74.2,  1.553,
2370200608, 112911, 144526,   99.6,  1.433,
2370200605, 112911, 144322,  124.1,  0.353,
2370200604, 112911, 144148,  149.4,  0.208,
2370200603, 112911, 144015,  175.6,  0.038,
2380200822, 122011, 121234,    5.6,  2.170,
