Hawaii Ocean Time-series : 05-Sep-2023 03:23:28
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, sil, 
#, mmddyy, hhmmss, dbar, umol/kg, 
3160200322, 101819, 001647,   64.1,   2.22,
3160200321, 101819, 001552,   74.2,   2.38,
3160200320, 101819, 001427,  114.7,   2.43,
3160200522, 101819, 070131,    5.2,   1.01,
3160200521, 101819, 070025,   14.6,   1.03,
3160200519, 101819, 065909,   25.0,   0.99,
3160200517, 101819, 065659,   45.7,   0.99,
3160200516, 101819, 065533,   61.1,   1.41,
3160200515, 101819, 065413,   73.9,   1.76,
3160200512, 101819, 065028,  101.6,   1.92,
3160200509, 101819, 064652,  124.3,   2.65,
3170200224, 121919, 201024,    4.0,   1.42,
3170200324, 121919, 225133,    4.6,   1.62,
3170200323, 121919, 224901,   56.1,   1.49,
3170200322, 121919, 224657,  110.6,   1.53,
3170200320, 121919, 224457,  131.4,   1.75,
3170200622, 122019, 073624,    5.4,   1.15,
3170200621, 122019, 073430,   15.2,   1.25,
3170200619, 122019, 073315,   24.8,   1.15,
3170200618, 122019, 073221,   33.5,   1.15,
3170200617, 122019, 073121,   44.5,   1.30,
3170200616, 122019, 073018,   59.0,   1.68,
3170200615, 122019, 072903,   75.4,   1.17,
3170200609, 122019, 072237,  124.5,   1.29,
3170200607, 122019, 072016,  149.1,   1.69,
3180200124, 010720, 231135,    6.5,   1.56,
3180200224, 010820, 034123,    4.2,   1.14,
3180200223, 010820, 033651,  108.2,   1.36,
3180200221, 010820, 033450,  121.7,   1.72,
3180200322, 010820, 060053,    6.5,   1.10,
3180200321, 010820, 055942,   14.5,   1.15,
3180200319, 010820, 055800,   23.6,   1.14,
3180200318, 010820, 055649,   34.4,   1.12,
3180200317, 010820, 055526,   45.5,   1.16,
3180200316, 010820, 055333,   59.3,   1.14,
3180200315, 010820, 055149,   75.0,   1.81,
3180200312, 010820, 054759,  100.2,   1.88,
3180200309, 010820, 054405,  124.1,   2.41,
3190200224, 013020, 200732,   10.1,   1.74,
3190200324, 013020, 225732,    6.1,   1.41,
3190200323, 013020, 225442,   60.1,   1.19,
3190200322, 013020, 225157,  128.1,   2.31,
3190200621, 013120, 100323,   16.3,   1.28,
3190200619, 013120, 100207,   26.6,   1.83,
3190200618, 013120, 100106,   34.7,   1.73,
3190200617, 013120, 095958,   46.2,   1.32,
3190200616, 013120, 095833,   60.7,   1.17,
3190200615, 013120, 095714,   74.7,   1.21,
3190200612, 013120, 095352,  100.7,   1.62,
3190200609, 013120, 095024,  126.3,   2.23,
3190200607, 013120, 094800,  149.4,   2.62,
3200200324, 071520, 170115,    5.0,   1.11,
3200200421, 071520, 221525,  139.1,   2.74,
3200200722, 071620, 070834,    4.9,   0.99,
3200200721, 071620, 070709,   13.6,   1.86,
3200200719, 071620, 070554,   24.5,   1.29,
3200200718, 071620, 070453,   34.8,   1.03,
3200200717, 071620, 070345,   44.9,   0.98,
3200200716, 071620, 070216,   58.6,   1.84,
3200200715, 071620, 070034,   74.4,   1.85,
3200200712, 071620, 065717,   98.7,   1.43,
3200200709, 071620, 065347,  124.9,   2.20,
3210200424, 080820, 173740,    4.8,   0.87,
3210200524, 080820, 221538,    4.0,   0.83,
3210200523, 080820, 221329,   50.4,   1.17,
3210200522, 080820, 221202,   75.2,   1.32,
3210200521, 080820, 221033,  102.4,   1.56,
3210200520, 080820, 220857,  135.2,   2.33,
3210200822, 080920, 070008,    4.8,   0.65,
3210200821, 080920, 065909,   14.4,   0.80,
3210200819, 080920, 065753,   25.4,   0.66,
