Hawaii Ocean Time-series : 05-Sep-2023 22:50:56
https://hahana.soest.hawaii.edu/hot/hot-dogs/bextraction.html

botid, date, time, press, don, 
#, mmddyy, hhmmss, dbar, umol/kg, 
0370200412, 060992, 070437,  103.9,   5.25,
0370200411, 060992, 070317,  113.4,   5.70,
0370200410, 060992, 070139,  124.5,   5.58,
0370200409, 060992, 070016,  135.9,   6.17,
0370200408, 060992, 065839,  148.3,   5.16,
0380200621, 070592, 083656,    8.7,   6.28,
0380200618, 070592, 083455,   28.4,   6.15,
0380200617, 070592, 083414,   38.4,   6.08,
0380200616, 070592, 083332,   48.5,   6.16,
0380200615, 070592, 083238,   63.5,   6.02,
0380200614, 070592, 083151,   78.1,   6.56,
0380200613, 070592, 083104,   87.2,   5.81,
0380200612, 070592, 083018,   97.5,   5.60,
0380200611, 070592, 082902,  108.5,   5.44,
0380200610, 070592, 082805,  118.1,   5.93,
0380200609, 070592, 082709,  129.3,   5.54,
0380200608, 070592, 082613,  139.0,   5.23,
0390201220, 080692, 090836,  109.0,   5.37,
0390201219, 080692, 090756,  118.5,   6.00,
0390201218, 080692, 090714,  128.8,   7.09,
0390201217, 080692, 090637,  138.1,   6.14,
0390201316, 080692, 112648,    9.9,   5.55,
0390201312, 080692, 112443,   31.1,   5.87,
0390201311, 080692, 112430,   31.0,   5.87,
0390201310, 080692, 112346,   40.3,   6.26,
0390201309, 080692, 112307,   49.3,   7.22,
0390201308, 080692, 112220,   64.8,   7.07,
0390201307, 080692, 112117,   80.1,   5.78,
0390201306, 080692, 112029,   92.1,   6.25,
0400200621, -00009, -00009,   15.6,   5.64,
0400200620, -00009, -00009,   25.4,   5.87,
0400200618, -00009, -00009,   35.4,   6.30,
0400200617, -00009, -00009,   45.4,   6.05,
0400200615, -00009, -00009,   74.7,   5.82,
0400200614, -00009, -00009,   82.8,   6.05,
0400200613, -00009, -00009,   94.0,   5.93,
0400200612, -00009, -00009,   94.0,   6.01,
0400200611, -00009, -00009,  105.5,   6.00,
0400200610, -00009, -00009,  115.0,   5.72,
0400200609, -00009, -00009,  124.8,   6.16,
0400200608, -00009, -00009,  134.2,   5.41,
0400200607, -00009, -00009,  134.2,   5.76,
0410200621, -00009, -00009,    8.5,   6.23,
0410200620, -00009, -00009,   15.4,   6.45,
0410200618, -00009, -00009,   24.7,   6.15,
0410200617, -00009, -00009,   34.6,   6.24,
0410200616, -00009, -00009,   44.7,   6.28,
0410200615, -00009, -00009,   59.7,   5.91,
0410200614, -00009, -00009,   74.7,   5.91,
0410200613, -00009, -00009,   84.8,   6.00,
0410200612, -00009, -00009,   95.8,   5.97,
0410200611, -00009, -00009,  105.2,   5.80,
0410200610, -00009, -00009,  115.0,   5.57,
0410200609, -00009, -00009,  125.0,   5.77,
0410200608, -00009, -00009,  132.6,   5.56,
0410200607, -00009, -00009,  148.4,   5.99,
0420200112, -00009, -00009,  115.0,   6.00,
0420200111, -00009, -00009,  125.0,   6.13,
0420200109, -00009, -00009,  150.0,   5.97,
0420200212, -00009, -00009,    5.0,   5.48,
0420200211, -00009, -00009,   15.0,   5.45,
0420200210, -00009, -00009,   25.0,   5.88,
0420200209, -00009, -00009,   35.0,   6.03,
0420200208, -00009, -00009,   45.0,   6.22,
0420200207, -00009, -00009,   60.0,   5.84,
0420200206, -00009, -00009,   75.0,   5.46,
0420200205, -00009, -00009,   85.0,   6.85,
0420200204, -00009, -00009,   95.0,   5.83,
0420200203, -00009, -00009,  105.0,   5.75,
0420200202, -00009, -00009,  115.0,   5.98,
0420200201, -00009, -00009,  135.0,   5.48,
0430200612, -00009, -00009,    5.0,   4.19,
0430200611, -00009, -00009,   15.0,   6.12,
0430200609, -00009, -00009,   35.0,   5.75,
0430200608, -00009, -00009,   45.0,   6.03,
0430200607, -00009, -00009,   60.0,   5.66,
0430200606, -00009, -00009,   75.0,   7.93,
0430200605, -00009, -00009,   85.0,   6.82,
0430200604, -00009, -00009,   95.0,   5.11,
0430200603, -00009, -00009,  105.0,   4.80,
0430200602, -00009, -00009,  115.0,   5.54,
0430200601, -00009, -00009,  135.0,   4.54,
